127.0.0.1 - - [01/Dec/2019:10:16:42 +0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/index.jsp HTTP/1.1" 200 33645
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 5223
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 200 33818
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/css/style.css HTTP/1.1" 200 352143
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 200 13736
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/vendors/pace-progress/css/pace.min.css HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/css/ourcustom.css HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/css/newjquery.dataTables.min.css HTTP/1.1" 200 13901
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 200 21167
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 58078
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/node_modules/pace-progress/pace.min.js HTTP/1.1" 200 12508
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/node_modules/@coreui/coreui/dist/js/coreui.min.js HTTP/1.1" 200 30714
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js HTTP/1.1" 200 18296
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/node_modules/chart.js/dist/Chart.min.js HTTP/1.1" 200 156728
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/node_modules/@coreui/coreui-plugin-chartjs-custom-tooltips/dist/js/custom-tooltips.min.js HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/js/newjquery.dataTables.min.js HTTP/1.1" 200 84501
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/js/main.js HTTP/1.1" 200 8962
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/img/brand/sygnet.svg HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:43 +0300] "GET /Content/img/brand/logos.svg HTTP/1.1" 200 10843
