127.0.0.1 - - [07/Feb/2020:11:39:19 +0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:39:20 +0300] "GET /Content/backend/NewFile.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:39:21 +0300] "GET /Content/backend/vid/azam.mp4 HTTP/1.1" 206 8995824
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:39:43 +0300] "GET /Content/backend/NewFile.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:39:45 +0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:39:45 +0300] "GET /Content/backend/vid/azam.mp4 HTTP/1.1" 206 8995824
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:40:16 +0300] "GET /Content/backend/vid/video-2.mp4 HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:43:04 +0300] "GET /Content/backend/NewFile.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:43:05 +0300] "GET /Content/backend/vid/azam.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:43:17 +0300] "GET /Content/backend/NewFile.jsp HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:43:17 +0300] "GET /Content/backend/vid/azam-1.mp4 HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:43:17 +0300] "GET /Content/backend/my-folder/video-1.m4v HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:43:17 +0300] "GET /Content/backend/my-folder/video-1.mp4 HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:43:21 +0300] "GET /Content/backend/NewFile.jsp HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:43:21 +0300] "GET /Content/backend/vid/azam-1.mp4 HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:43:21 +0300] "GET /Content/backend/my-folder/video-1.m4v HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:43:21 +0300] "GET /Content/backend/my-folder/video-1.mp4 HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:43:45 +0300] "GET /Content/backend/NewFile.jsp HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:43:45 +0300] "GET /Content/backend/vid/azam-1.mp4 HTTP/1.1" 206 8995824
0:0:0:0:0:0:0:1 - - [07/Feb/2020:11:44:01 +0300] "GET /Content/backend/vid/azam-2.mp4 HTTP/1.1" 206 10514184
